neighborhoodName,year,districtCode,districtName,neighborhoodCode,placeOfDestination,count
la Nova Esquerra de l'Eixample,2015,2,Eixample,9,Cantabria,6
Sant Antoni,2015,2,Eixample,10,Cantabria,4
el Poble Sec,2015,3,Sants-Montjuïc,11,Cantabria,9
la Marina del Prat Vermell,2015,3,Sants-Montjuïc,12,Cantabria,0
la Marina de Port,2015,3,Sants-Montjuïc,13,Cantabria,0
la Font de la Guatlla,2015,3,Sants-Montjuïc,14,Cantabria,5
Hostafrancs,2015,3,Sants-Montjuïc,15,Cantabria,0
la Bordeta,2015,3,Sants-Montjuïc,16,Cantabria,2
Sants - Badal,2015,3,Sants-Montjuïc,17,Cantabria,2
Sants,2015,3,Sants-Montjuïc,18,Cantabria,4
les Corts,2015,4,Les Corts,19,Cantabria,7
la Maternitat i Sant Ramon,2015,4,Les Corts,20,Cantabria,3
Pedralbes,2015,4,Les Corts,21,Cantabria,0
"Vallvidrera, el Tibidabo i les Planes",2015,5,Sarrià-Sant Gervasi,22,Cantabria,0
Sarrià,2015,5,Sarrià-Sant Gervasi,23,Cantabria,3
les Tres Torres,2015,5,Sarrià-Sant Gervasi,24,Cantabria,2
Sant Gervasi - la Bonanova,2015,5,Sarrià-Sant Gervasi,25,Cantabria,4
Sant Gervasi - Galvany,2015,5,Sarrià-Sant Gervasi,26,Cantabria,0
el Putxet i el Farró,2015,5,Sarrià-Sant Gervasi,27,Cantabria,2
Vallcarca i els Penitents,2015,6,Gràcia,28,Cantabria,0
el Coll,2015,6,Gràcia,29,Cantabria,2
la Salut,2015,6,Gràcia,30,Cantabria,1
la Vila de Gràcia,2015,6,Gràcia,31,Cantabria,7
el Camp d'en Grassot i Gràcia Nova,2015,6,Gràcia,32,Cantabria,2
el Baix Guinardó,2015,7,Horta-Guinardó,33,Cantabria,0
Can Baró,2015,7,Horta-Guinardó,34,Cantabria,0
el Guinardó,2015,7,Horta-Guinardó,35,Cantabria,1
la Font d'en Fargues,2015,7,Horta-Guinardó,36,Cantabria,0
el Carmel,2015,7,Horta-Guinardó,37,Cantabria,1
la Teixonera,2015,7,Horta-Guinardó,38,Cantabria,0
Sant Genís dels Agudells,2015,7,Horta-Guinardó,39,Cantabria,0
