,districtName,year,districtCode,neighborhoodCode,neighborhoodName,5YearAge,count
283,Sant Martí,2015,10,65,el Clot,15-19,25
284,Sant Martí,2015,10,66,el Parc i la Llacuna del Poblenou,15-19,12
285,Sant Martí,2015,10,67,la Vila Olímpica del Poblenou,15-19,4
286,Sant Martí,2015,10,68,el Poblenou,15-19,36
287,Sant Martí,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,15-19,17
288,Sant Martí,2015,10,70,el Besòs i el Maresme,15-19,48
289,Sant Martí,2015,10,71,Provençals del Poblenou,15-19,22
290,Sant Martí,2015,10,72,Sant Martí de Provençals,15-19,27
291,Sant Martí,2015,10,73,la Verneda i la Pau,15-19,40
292,Ciutat Vella,2015,1,1,el Raval,20-24,176
293,Ciutat Vella,2015,1,2,el Barri Gòtic,20-24,58
294,Ciutat Vella,2015,1,3,la Barceloneta,20-24,38
295,Ciutat Vella,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",20-24,64
296,Eixample,2015,2,5,el Fort Pienc,20-24,68
297,Eixample,2015,2,6,la Sagrada Família,20-24,102
298,Eixample,2015,2,7,la Dreta de l'Eixample,20-24,56
299,Eixample,2015,2,8,l'Antiga Esquerra de l'Eixample,20-24,76
300,Eixample,2015,2,9,la Nova Esquerra de l'Eixample,20-24,128
301,Eixample,2015,2,10,Sant Antoni,20-24,74
302,Sants-Montjuïc,2015,3,11,el Poble Sec,20-24,106
303,Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,20-24,4
304,Sants-Montjuïc,2015,3,13,la Marina de Port,20-24,72
305,Sants-Montjuïc,2015,3,14,la Font de la Guatlla,20-24,32
306,Sants-Montjuïc,2015,3,15,Hostafrancs,20-24,36
307,Sants-Montjuïc,2015,3,16,la Bordeta,20-24,48
308,Sants-Montjuïc,2015,3,17,Sants - Badal,20-24,75
309,Sants-Montjuïc,2015,3,18,Sants,20-24,123
310,Les Corts,2015,4,19,les Corts,20-24,65
311,Les Corts,2015,4,20,la Maternitat i Sant Ramon,20-24,48
312,Les Corts,2015,4,21,Pedralbes,20-24,12
313,Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",20-24,3
314,Sarrià-Sant Gervasi,2015,5,23,Sarrià,20-24,36
315,Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,20-24,16
316,Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,20-24,45
317,Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,20-24,61
318,Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,20-24,42
319,Gràcia,2015,6,28,Vallcarca i els Penitents,20-24,14
320,Gràcia,2015,6,29,el Coll,20-24,11
321,Gràcia,2015,6,30,la Salut,20-24,23
322,Gràcia,2015,6,31,la Vila de Gràcia,20-24,86
323,Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,20-24,48
324,Horta-Guinardó,2015,7,33,el Baix Guinardó,20-24,39
325,Horta-Guinardó,2015,7,34,Can Baró,20-24,11
326,Horta-Guinardó,2015,7,35,el Guinardó,20-24,66
327,Horta-Guinardó,2015,7,36,la Font d'en Fargues,20-24,9
328,Horta-Guinardó,2015,7,37,el Carmel,20-24,68
329,Horta-Guinardó,2015,7,38,la Teixonera,20-24,29
330,Horta-Guinardó,2015,7,39,Sant Genís dels Agudells,20-24,12
331,Horta-Guinardó,2015,7,40,Montbau,20-24,5
332,Horta-Guinardó,2015,7,41,la Vall d'Hebron,20-24,8
333,Horta-Guinardó,2015,7,42,la Clota,20-24,0
334,Horta-Guinardó,2015,7,43,Horta,20-24,34
335,Nou Barris,2015,8,44,Vilapicina i la Torre Llobeta,20-24,50
336,Nou Barris,2015,8,45,Porta,20-24,34
337,Nou Barris,2015,8,46,el Turó de la Peira,20-24,48
338,Nou Barris,2015,8,47,Can Peguera,20-24,5
339,Nou Barris,2015,8,48,la Guineueta,20-24,18
340,Nou Barris,2015,8,49,Canyelles,20-24,6
341,Nou Barris,2015,8,50,les Roquetes,20-24,51
342,Nou Barris,2015,8,51,Verdun,20-24,29
343,Nou Barris,2015,8,52,la Prosperitat,20-24,60
344,Nou Barris,2015,8,53,la Trinitat Nova,20-24,26
345,Nou Barris,2015,8,54,Torre Baró,20-24,3
346,Nou Barris,2015,8,55,Ciutat Meridiana,20-24,49
347,Nou Barris,2015,8,56,Vallbona,20-24,4
348,Sant Andreu,2015,9,57,la Trinitat Vella,20-24,39
349,Sant Andreu,2015,9,58,Baró de Viver,20-24,6
350,Sant Andreu,2015,9,59,el Bon Pastor,20-24,22
351,Sant Andreu,2015,9,60,Sant Andreu,20-24,80
352,Sant Andreu,2015,9,61,la Sagrera,20-24,45
353,Sant Andreu,2015,9,62,el Congrés i els Indians,20-24,30
354,Sant Andreu,2015,9,63,Navas,20-24,33
355,Sant Martí,2015,10,64,el Camp de l'Arpa del Clot,20-24,78
356,Sant Martí,2015,10,65,el Clot,20-24,41
357,Sant Martí,2015,10,66,el Parc i la Llacuna del Poblenou,20-24,35
358,Sant Martí,2015,10,67,la Vila Olímpica del Poblenou,20-24,11
359,Sant Martí,2015,10,68,el Poblenou,20-24,46
